"","reef_no","replicate","perimeter_m","area_m2","imagery_resolution_m","date","method","platform","imagery_type","provider","instrument","observer","notes"
"231",22,1,111.125,982.6835452,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KV",NA
"232",22,2,106.31,899.3699491,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KV",NA
"233",22,3,109.84,960.0883159,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KV",NA
"234",22,1,111.96,997.5069163,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KV",NA
"235",22,2,112.58,1008.585278,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KV",NA
"236",22,3,111.93,996.9724182,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KV",NA
"237",22,1,136.52,1483.141869,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KV",NA
"238",22,2,177.36,2503.234272,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KV",NA
"239",22,3,141.93,1603.018526,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KV",NA
"240",22,1,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KV",NA
"241",22,2,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KV",NA
"242",22,3,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KV",NA
"243",20,1,150.63,1805.564836,0.15,20130115,"imagery","GE","aerial","unknown","unknown","KK",NA
"244",20,2,147.09,1721.695847,0.15,20130115,"imagery","GE","aerial","unknown","unknown","KK",NA
"245",20,3,132.05,1387.608486,0.15,20130115,"imagery","GE","aerial","unknown","unknown","KK",NA
"246",20,1,113.03,1016.664341,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KK",NA
"247",20,2,111.94,997.1505683,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KK",NA
"248",20,3,114.25,1038.72971,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KK",NA
"249",20,1,115.19,1055.892469,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KK",NA
"250",20,2,108.45,935.9426728,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KK",NA
"251",20,3,111.25,984.8955502,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KK",NA
"252",20,1,126.32,1269.797214,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","KK",NA
"253",20,2,117.28,1094.556163,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","KK",NA
"254",20,3,124.38,1231.094074,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","KK",NA
"255",20,1,190.28,2881.220005,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KK",NA
"256",20,2,162.89,2111.441156,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KK",NA
"257",20,3,161.26,2069.395245,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KK",NA
"258",20,1,142.15,1607.991927,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KK",NA
"259",20,2,142.66,1619.550801,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KK",NA
"260",20,3,134.68,1443.432074,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KK",NA
"261",20,1,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KK",NA
"262",20,2,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KK",NA
"263",20,3,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KK",NA
"264",20,1,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KK",NA
"265",20,2,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KK",NA
"266",20,3,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KK",NA
"267",22,1,156.7,1954.01606,0.15,20130115,"imagery","GE","aerial","unknown","unknown","KK",NA
"268",22,2,148.63,1757.936128,0.15,20130115,"imagery","GE","aerial","unknown","unknown","KK",NA
"269",22,3,150.74,1808.202885,0.15,20130115,"imagery","GE","aerial","unknown","unknown","KK",NA
"270",22,1,134.03,1429.532954,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KK",NA
"271",22,2,144.06,1651.493835,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KK",NA
"272",22,3,138.36,1523.390499,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","KK",NA
"273",22,1,133.25,1412.94277,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KK",NA
"274",22,2,123.5,1213.73549,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KK",NA
"275",22,3,127.4,1291.602842,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","KK",NA
"276",22,1,111.53,989.8594655,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","KK",NA
"277",22,2,119,1126.896575,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","KK",NA
"278",22,3,114.27,1039.093411,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","KK",NA
"279",22,1,143.64,1641.878171,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KK",NA
"280",22,2,127.61,1295.864383,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KK",NA
"281",22,3,128.06,1305.01989,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","KK",NA
"282",22,1,136.34,1479.233437,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KK",NA
"283",22,2,139.74,1553.930582,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KK",NA
"284",22,3,164.32,2148.676275,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","KK",NA
"285",22,1,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KK",NA
"286",22,2,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KK",NA
"287",22,3,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","KK",NA
"288",22,1,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KK",NA
"289",22,2,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KK",NA
"290",22,3,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","KK",NA
