"","reef_no","replicate","perimeter_m","area_m2","imagery_resolution_m","date","method","platform","imagery_type","provider","instrument","observer","notes"
"60",20,2,138.88,1534.862769,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","JYR",NA
"61",20,3,139,1537.516328,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","JYR",NA
"62",20,1,143.08,1629.100957,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","JYR",NA
"63",20,2,144.2,1654.705295,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","JYR",NA
"64",20,3,142.36,1612.74645,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","JYR",NA
"65",20,1,149.2,1771.445446,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","JYR",NA
"66",20,2,172.33,2363.262219,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","JYR",NA
"67",20,3,178.89,2546.608968,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","JYR",NA
"68",20,1,153.05,1864.046766,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","JYR",NA
"69",20,2,159.89,2034.383107,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","JYR",NA
"70",20,3,152.41,1848.489816,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","JYR",NA
"71",20,1,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","JYR",NA
"72",20,2,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","JYR",NA
"73",20,3,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","JYR",NA
"74",20,1,147.44,1729.899131,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","JYR",NA
"75",20,2,152.44,1849.217591,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","JYR",NA
"76",20,3,151.28,1821.181239,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","JYR",NA
"77",22,1,117.88,1105.784226,0.15,20130115,"imagery","GE","aerial","unknown","unknown","JYR",NA
"78",22,2,117.25,1093.996264,0.15,20130115,"imagery","GE","aerial","unknown","unknown","JYR",NA
"79",22,3,119.28,1132.205856,0.15,20130115,"imagery","GE","aerial","unknown","unknown","JYR",NA
"80",22,1,106.91,909.5504542,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","JYR",NA
"81",22,2,102.59,837.5296594,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","JYR",NA
"82",22,3,119.97,1145.342704,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","JYR",NA
"83",22,1,124.86,1240.614341,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","JYR",NA
"84",22,2,127.24,1288.360665,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","JYR",NA
"85",22,3,128.19,1307.670815,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","JYR",NA
"86",22,1,129.64,1337.421131,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","JYR",NA
"87",22,2,128.18,1307.466802,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","JYR",NA
"88",22,3,135.41,1459.122022,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","JYR",NA
"89",22,1,113.68,1028.390997,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","JYR",NA
"90",22,2,135.65,1464.298887,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","JYR",NA
"91",22,3,117.52,1099.040512,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","JYR",NA
"92",22,1,116.68,1083.385396,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","JYR",NA
"93",22,2,126.48,1273.015964,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","JYR",NA
"94",22,3,121.02,1165.478948,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","JYR",NA
"95",22,1,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","JYR",NA
"96",22,2,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","JYR",NA
"97",22,3,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","JYR",NA
"98",22,1,120.52,1155.868376,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","JYR",NA
"99",22,2,124.22,1227.928801,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","JYR",NA
"100",22,3,120.47,1154.909508,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","JYR",NA
"101",20,1,146.01,1696.505758,0.15,20130115,"imagery","GE","aerial","unknown","unknown","AV",NA
"102",20,2,140.4,1568.643852,0.15,20130115,"imagery","GE","aerial","unknown","unknown","AV",NA
"103",20,3,144.75,1667.351946,0.15,20130115,"imagery","GE","aerial","unknown","unknown","AV",NA
"104",20,1,145.12,1675.886781,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","AV",NA
"105",20,2,149.73,1784.053136,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","AV",NA
"106",20,3,150.8,1809.642633,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","AV",NA
"107",20,1,135.21,1454.814971,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","AV",NA
"108",20,2,132,1386.557864,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","AV",NA
"109",20,3,134.43,1438.078301,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","AV",NA
"110",20,1,140.37,1567.973563,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","AV",NA
"111",20,2,136.87,1490.756359,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","AV",NA
"112",20,3,145.42,1682.822913,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","AV",NA
"113",20,1,142.04,1605.504264,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AV",NA
"114",20,2,174.21,2415.10656,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AV",NA
"115",20,3,155.96,1935.604348,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AV",NA
"116",20,1,126.25,1268.390293,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AV",NA
